date,round,category,value,result,is_daily_double
20190405,single,BODIES OF WATER,200,c,false
20190405,single,LEGAL TERMS,200,c,false
20190405,single,MAKE TIME FOR TIME,200,c,false
20190405,single,JAMES BOND & FRIENDS,200,.,false
20190405,single,"""Q""",200,.,false
20190405,single,MONET-PUNNY,200,c,false
20190405,single,BODIES OF WATER,400,x,false
20190405,single,LEGAL TERMS,400,c,false
20190405,single,MAKE TIME FOR TIME,400,.,false
20190405,single,JAMES BOND & FRIENDS,400,.,false
20190405,single,"""Q""",400,c,false
20190405,single,MONET-PUNNY,400,.,false
20190405,single,BODIES OF WATER,600,c,false
20190405,single,LEGAL TERMS,600,x,false
20190405,single,MAKE TIME FOR TIME,600,c,false
20190405,single,JAMES BOND & FRIENDS,600,x,false
20190405,single,"""Q""",600,x,false
20190405,single,MONET-PUNNY,600,.,false
20190405,single,BODIES OF WATER,800,c,false
20190405,single,LEGAL TERMS,800,c,false
20190405,single,MAKE TIME FOR TIME,800,c,false
20190405,single,JAMES BOND & FRIENDS,800,.,false
20190405,single,"""Q""",800,c,false
20190405,single,MONET-PUNNY,800,.,false
20190405,single,BODIES OF WATER,1000,c,false
20190405,single,LEGAL TERMS,1000,d.,true
20190405,single,MAKE TIME FOR TIME,1000,.,false
20190405,single,JAMES BOND & FRIENDS,1000,.,false
20190405,single,"""Q""",1000,c,false
20190405,single,MONET-PUNNY,1000,x,false
20190405,double,COLLEGES & UNIVERSITIES,400,c,false
20190405,double,BOOK TITLE NAMES,400,.,false
20190405,double,SOME KIND OF WONDERFUL,400,c,false
20190405,double,WHICH TALL CHIEF?,400,.,false
20190405,double,18th CENTURY SCIENCE,400,c,false
20190405,double,ACM AWARDS,400,c,false
20190405,double,COLLEGES & UNIVERSITIES,800,c,false
20190405,double,BOOK TITLE NAMES,800,c,false
20190405,double,SOME KIND OF WONDERFUL,800,c,false
20190405,double,WHICH TALL CHIEF?,800,c,false
20190405,double,18th CENTURY SCIENCE,800,c,false
20190405,double,ACM AWARDS,800,x,false
20190405,double,COLLEGES & UNIVERSITIES,1200,c,false
20190405,double,BOOK TITLE NAMES,1200,.,false
20190405,double,SOME KIND OF WONDERFUL,1200,c,false
20190405,double,WHICH TALL CHIEF?,1200,.,false
20190405,double,18th CENTURY SCIENCE,1200,dc,true
20190405,double,ACM AWARDS,1200,c,false
20190405,double,COLLEGES & UNIVERSITIES,1600,dc,true
20190405,double,BOOK TITLE NAMES,1600,x,false
20190405,double,SOME KIND OF WONDERFUL,1600,c,false
20190405,double,WHICH TALL CHIEF?,1600,c,false
20190405,double,18th CENTURY SCIENCE,1600,.,false
20190405,double,ACM AWARDS,1600,.,false
20190405,double,COLLEGES & UNIVERSITIES,2000,c,false
20190405,double,BOOK TITLE NAMES,2000,.,false
20190405,double,SOME KIND OF WONDERFUL,2000,.,false
20190405,double,WHICH TALL CHIEF?,2000,.,false
20190405,double,18th CENTURY SCIENCE,2000,.,false
20190405,double,ACM AWARDS,2000,c,false
